PersonKey,SourceUserId,Name,Email,KnownRoles
1,002fba03-356c-44eb-8309-249c417ccd5f,Guy Elliott,guy.elliott@example.org,Modifier
2,0035eeab-d914-4487-8223-3f6411bbfda6,Scott Morris,scott.morris@example.org,Owner
3,0086e313-0cb5-4299-a4f8-5b6e0470321f,Craig Ellis,craig.ellis@example.org,Contributor
4,008861eb-f81d-48f4-ab19-2ebe446f32a4,Victor Newman,victor.newman@example.org,Contributor
5,009b1753-1f9c-4dc7-9612-f9ff456aa8db,Jade Mills,Unknown,EventActor
6,00ae51dd-c61c-458b-ab5e-86a689d2f12e,Victoria Knight,victoria.knight@example.org,Owner
7,00f1a9ff-867e-40d1-b4fb-f388c991503e,Dale Arnold,Unknown,EventActor
8,010ad0f6-5e6e-4328-b73a-96e2b1bc1397,Sally Clark,Unknown,EventActor
9,01994307-b4cb-4c2c-a176-019d9714e1a6,Abdul Barton,Unknown,EventActor
10,01ac2d15-9e08-48f9-8cdc-a417d3a5f88a,Bradley Crawford,Unknown,EventActor
11,01bad89b-c0da-43db-91ab-b8c38730e986,Natalie Burrows,natalie.burrows@example.org,Contributor
12,02027f10-bbed-4811-9f38-4159cbeb57a6,Stephen Barrett,stephen.barrett@example.org,Owner
13,022064cd-fb20-4edb-84a7-7efb1a3246aa,Kathryn Kennedy,kathryn.kennedy@example.org,Modifier
14,02371ca0-215f-4d0d-9e7d-22358dcece0f,Tracey Singh,Unknown,EventActor
15,023754e8-1eef-42e1-b39b-8da51379e2f9,Michelle Hill,michelle.hill@example.org,Owner
16,02cffb5f-2ff2-4362-967b-e8cf599eda4e,Allan Kennedy,allan.kennedy@example.org,Contributor
17,03033052-83b6-4a02-8c35-e7ff7fe3bafa,Emma Bailey,emma.bailey@example.org,Owner
18,030d63d6-c1f8-4cb7-9ef1-781b2745bc6f,Katherine Day,Unknown,EventActor
19,03383b19-9240-4b3e-8411-29537a5881e2,Holly Wyatt,holly.wyatt@example.org,Owner
20,033ce32e-53e3-47af-8f5f-9d54076105c8,Jeffrey Byrne,jeffrey.byrne@example.org,Owner
21,0356204c-02e7-4fe3-909f-84d5777a2d93,Barry Davies,barry.davies@example.org,Contributor
22,03bbee2f-28da-4e75-99c1-b86461615dd5,Robin Davies,robin.davies@example.org,Contributor
23,03c903d8-05f5-4853-a5e6-969622d5a276,Debra Hilton,Unknown,EventActor
24,03dad294-1d33-425b-a4e2-e54afb5c83b3,Frank Robinson,Unknown,EventActor
25,044c8699-d0b6-4e8d-bcc3-7ae6200cf959,Craig Gibbs,craig.gibbs@example.org,Owner
26,04819d35-6921-48f1-b1ae-4e1ac8701340,Lydia Khan,Unknown,EventActor
27,0490917c-96d5-491e-ab9b-e19be37d2e33,Ronald Lucas,Unknown,EventActor
28,04bf985f-cb8a-4653-b237-e0514ab48344,Wendy Jones,wendy.jones@example.org,Modifier
29,04c71122-6812-484d-8329-bd9a49d7848f,Trevor Houghton,Unknown,EventActor
30,04d061ce-aa4f-41b5-8ddf-fa96f76e8b0a,Michelle Taylor,Unknown,EventActor
31,04d1c0cb-e990-420f-9757-47e219f351fd,Emma Allen,emma.allen@example.org,Contributor
32,057e9eca-bf5b-4f9b-bb81-b3c6f8fa66a2,Terry Carpenter,terry.carpenter@example.org,Owner
33,059cc14d-247e-4d95-b903-1d14433fc0d9,Simon Spencer,Unknown,EventActor
34,05d5047a-de7a-4c76-9c03-ea415e9431ad,Stanley Richards,stanley.richards@example.org,Contributor
35,061d6191-b2fc-4231-b174-355168745ffd,Damian Mason,damian.mason@example.org,Contributor
36,063b46c0-921d-447f-8b10-d6cec05d6556,Gillian Grant,gillian.grant@example.org,Modifier
37,06609a6d-d9e3-4f40-930a-d9a90aea4d2d,June Carter,Unknown,EventActor
38,0696b262-a157-42c6-9f9b-a4989717064a,Francesca Taylor,francesca.taylor@example.org,Contributor
39,069e2796-1ba5-42c3-a5f0-ea4a7da66e4a,Cameron Lewis,cameron.lewis@example.org,Owner
40,06fffc95-a669-40ea-940a-20da29003f45,Timothy Dixon,Unknown,EventActor
41,0707ba79-96fc-49ab-aa2d-066664b0e61d,Leah Lawrence,Unknown,EventActor
42,077c3049-dfa1-422c-a5b9-4563db6ca69a,Rosie Foster,rosie.foster@example.org,Owner
43,07ac44fe-649b-46f5-b72b-5b976ea28764,Julie Kirk,Unknown,EventActor
44,08348de7-1871-403c-9be4-e365cf3e5afc,Joel Dixon,joel.dixon@example.org,Contributor
45,0857495d-be07-4f66-adad-404a4772a63a,Kathleen Boyle,Unknown,EventActor
46,086b3a59-50fb-4057-a0d6-be347be8287e,Jill Hill,Unknown,EventActor
47,0891b485-b608-4738-965c-a2a2ac915370,Samuel Roberts,samuel.roberts@example.org,Owner
48,093f9f20-6666-426d-98f1-7e90b0e0e9f6,Julia Kerr,Unknown,EventActor
49,0964cef4-05b6-4620-927a-824b45a812d0,Henry Watson,Unknown,EventActor
50,0977bc53-8f6b-4556-9686-7d0fed5ae2f8,Paul Taylor,Unknown,EventActor
51,0996d3f5-ea8b-4c24-a5ef-5618e00f0021,Stuart McCarthy,stuart.mccarthy@example.org,Owner
52,09c839b3-c54e-48a1-a0d8-b075fd54fda3,Patricia Davidson,Unknown,EventActor
53,09d1e28d-9387-480a-8e33-fe8ad1f6c88f,Alex Johnson,Unknown,EventActor
54,09e95827-f8f5-45e4-acff-4cccf53e16cd,Linda Moss,Unknown,EventActor
55,0a1864d6-f925-4876-aa96-0a5cdcdc1b43,Christopher Osborne,christopher.osborne@example.org,Modifier
56,0a41dcd7-cb4e-4791-87de-384a09e0fe88,Marc Morgan,marc.morgan@example.org,Contributor
57,0a5d4f0a-6b40-4768-80f2-a651869c9117,Chloe Wood,Unknown,EventActor
58,0ae2dd51-e76f-4b28-8c3e-7e7a4aced190,Damien Byrne,damien.byrne@example.org,Owner
